nome,indice,latitude,longitude,raio
Polygon 067,1388,-23.32647024109099,-46.914826969335266,1000
Polygon 398,1719,-22.94089142838198,-45.37802873308221,1000
Polygon 398,1719,-22.94089142838198,-45.39363279441166,1000
Polygon 398,1719,-22.94089142838198,-45.409236855741106,1000
Polygon 398,1719,-22.94990043739099,-45.40143482507638,1000
Polygon 398,1719,-22.94990043739099,-45.41703888640583,1000
Polygon 392,1713,-23.63596360789099,-47.11064984633527,1000
Polygon 391,1712,-23.315365729490992,-46.19146981303526,1000
Polygon 174,1176,-22.143727596981982,-51.154958877241114,1000
Polygon 174,1176,-22.143727596981982,-51.17056293857056,1000
Polygon 174,1176,-22.15273660599099,-51.162760907905835,1000
Polygon 174,1176,-22.15273660599099,-51.17836496923528,1000
Polygon 407,1728,-23.15807627259099,-46.708099782405824,1000
Polygon 407,1728,-23.14005825457297,-46.72370384373527,1000
Polygon 104,1106,-22.235908944363963,-53.33995880894109,1000
Polygon 104,1106,-22.253926962381982,-53.33995880894109,1000
Polygon 104,1106,-22.244917953372973,-53.34776083960581,1000
Polygon 104,1106,-22.253926962381982,-53.35556287027054,1000
Polygon 104,1106,-22.26293597139099,-53.34776083960581,1000
Polygon 104,1106,-22.26293597139099,-53.36336490093526,1000
Polygon 070,1391,-23.10178428769099,-45.68120066163527,1000
Polygon 055,55,-13.719289204390991,-49.01589587593527,1000
Polygon 387,1708,-22.73609924526396,-45.103537817361655,1000
Polygon 387,1708,-22.718081227245943,-45.1191418786911,1000
Polygon 387,1708,-22.727090236254952,-45.111339848026375,1000
Polygon 387,1708,-22.73609924526396,-45.1191418786911,1000
Polygon 411,1732,-23.330611152054953,-47.84647228337638,1000
Polygon 411,1732,-23.339620161063962,-47.854274314041106,1000
Polygon 411,1732,-23.34862917007297,-47.84647228337638,1000
Polygon 411,1732,-23.35763817908198,-47.854274314041106,1000
Polygon 411,1732,-23.339620161063962,-47.869878375370554,1000
Polygon 411,1732,-23.34862917007297,-47.86207634470583,1000
Polygon 411,1732,-23.35763817908198,-47.869878375370554,1000
Polygon 411,1732,-23.339620161063962,-47.82306619138221,1000
Polygon 411,1732,-23.34862917007297,-47.83086822204693,1000
Polygon 411,1732,-23.35763817908198,-47.83867025271166,1000
Polygon 387,1708,-22.74510825427297,-45.111339848026375,1000
Polygon 387,1708,-22.75411726328198,-45.1191418786911,1000
Polygon 387,1708,-22.727090236254952,-45.12694390935582,1000
Polygon 387,1708,-22.74510825427297,-45.12694390935582,1000
Polygon 387,1708,-22.75411726328198,-45.13474594002055,1000
Polygon 211,1213,-20.257616941654952,-50.54462665830582,1000
Polygon 211,1213,-20.26662595066396,-50.55242868897055,1000
Polygon 211,1213,-20.27563495967297,-50.54462665830582,1000
Polygon 211,1213,-20.28464396868198,-50.55242868897055,1000
Polygon 211,1213,-20.239598923636933,-50.56023071963527,1000
Polygon 211,1213,-20.27563495967297,-50.56023071963527,1000
Polygon 387,1708,-22.76312627229099,-45.12694390935582,1000
Polygon 387,1708,-22.76312627229099,-45.14254797068527,1000
Polygon 417,1738,-22.88845988200903,-45.38462475843527,1000
Polygon 414,1735,-23.23496223539099,-45.88514571503527,1000
Polygon 331,2169,-22.471915979581983,-48.9734857123411,1000
Polygon 331,2169,-22.480924988590992,-48.965683681676374,1000
Polygon 331,2169,-22.453897961563964,-48.98908977367055,1000
Polygon 331,2169,-22.471915979581983,-48.98908977367055,1000
Polygon 418,1739,-23.26523299626396,-45.890236675941104,1000
Polygon 418,1739,-23.229196960227924,-45.90584073727055,1000
Polygon 418,1739,-23.247214978245943,-45.90584073727055,1000
Polygon 418,1739,-23.256223987254952,-45.898038706605824,1000
Polygon 418,1739,-23.26523299626396,-45.90584073727055,1000
Polygon 418,1739,-23.27424200527297,-45.898038706605824,1000
Polygon 418,1739,-23.29226002329099,-45.898038706605824,1000
Polygon 418,1739,-23.256223987254952,-45.91364276793527,1000
Polygon 211,1213,-20.26662595066396,-50.5368246276411,1000
Polygon 211,1213,-20.27563495967297,-50.529022596976375,1000
Polygon 211,1213,-20.28464396868198,-50.5368246276411,1000
Polygon 211,1213,-20.248607932645942,-50.55242868897055,1000
