nome;indice;latitude;longitude;raio
Polygon 067;1388;-23,326470;-46,914827;1000
Polygon 398;1719;-22,940891;-45,378029;1000
Polygon 398;1719;-22,940891;-45,393633;1000
Polygon 398;1719;-22,940891;-45,409237;1000
Polygon 398;1719;-22,949900;-45,401435;1000
Polygon 398;1719;-22,949900;-45,417039;1000
Polygon 392;1713;-23,635964;-47,110650;1000
Polygon 391;1712;-23,315366;-46,191470;1000
Polygon 174;1176;-22,143728;-51,154959;1000
Polygon 174;1176;-22,143728;-51,170563;1000
Polygon 174;1176;-22,152737;-51,162761;1000
Polygon 174;1176;-22,152737;-51,178365;1000
Polygon 407;1728;-23,158076;-46,708100;1000
Polygon 407;1728;-23,140058;-46,723704;1000
Polygon 104;1106;-22,235909;-53,339959;1000
Polygon 104;1106;-22,253927;-53,339959;1000
Polygon 104;1106;-22,244918;-53,347761;1000
Polygon 104;1106;-22,253927;-53,355563;1000
Polygon 104;1106;-22,262936;-53,347761;1000
Polygon 104;1106;-22,262936;-53,363365;1000
Polygon 070;1391;-23,101784;-45,681201;1000
Polygon 055;55;-13,719289;-49,015896;1000
Polygon 387;1708;-22,736099;-45,103538;1000
Polygon 387;1708;-22,718081;-45,119142;1000
Polygon 387;1708;-22,727090;-45,111340;1000
Polygon 387;1708;-22,736099;-45,119142;1000
Polygon 411;1732;-23,330611;-47,846472;1000
Polygon 411;1732;-23,339620;-47,854274;1000
Polygon 411;1732;-23,348629;-47,846472;1000
Polygon 411;1732;-23,357638;-47,854274;1000
Polygon 411;1732;-23,339620;-47,869878;1000
Polygon 411;1732;-23,348629;-47,862076;1000
Polygon 411;1732;-23,357638;-47,869878;1000
Polygon 411;1732;-23,339620;-47,823066;1000
Polygon 411;1732;-23,348629;-47,830868;1000
Polygon 411;1732;-23,357638;-47,838670;1000
Polygon 387;1708;-22,745108;-45,111340;1000
Polygon 387;1708;-22,754117;-45,119142;1000
Polygon 387;1708;-22,727090;-45,126944;1000
Polygon 387;1708;-22,745108;-45,126944;1000
Polygon 387;1708;-22,754117;-45,134746;1000
Polygon 211;1213;-20,257617;-50,544627;1000
Polygon 211;1213;-20,266626;-50,552429;1000
Polygon 211;1213;-20,275635;-50,544627;1000
Polygon 211;1213;-20,284644;-50,552429;1000
Polygon 211;1213;-20,239599;-50,560231;1000
Polygon 211;1213;-20,275635;-50,560231;1000
Polygon 387;1708;-22,763126;-45,126944;1000
Polygon 387;1708;-22,763126;-45,142548;1000
Polygon 417;1738;-22,888460;-45,384625;1000
Polygon 414;1735;-23,234962;-45,885146;1000
Polygon 331;2169;-22,471916;-48,973486;1000
Polygon 331;2169;-22,480925;-48,965684;1000
Polygon 331;2169;-22,453898;-48,989090;1000
Polygon 331;2169;-22,471916;-48,989090;1000
Polygon 418;1739;-23,265233;-45,890237;1000
Polygon 418;1739;-23,229197;-45,905841;1000
Polygon 418;1739;-23,247215;-45,905841;1000
Polygon 418;1739;-23,256224;-45,898039;1000
Polygon 418;1739;-23,265233;-45,905841;1000
Polygon 418;1739;-23,274242;-45,898039;1000
Polygon 418;1739;-23,292260;-45,898039;1000
Polygon 418;1739;-23,256224;-45,913643;1000
Polygon 211;1213;-20,266626;-50,536825;1000
Polygon 211;1213;-20,275635;-50,529023;1000
Polygon 211;1213;-20,284644;-50,536825;1000
Polygon 211;1213;-20,248608;-50,552429;1000
Polygon 419;1740;-23,721139;-46,428350;1000
Polygon 984;984;-16,969344;-49,775551;1000
Polygon 331;2169;-22,480925;-48,996892;1000
Polygon 419;1740;-23,694112;-46,373736;1000
Polygon 419;1740;-23,685103;-46,381538;1000
Polygon 419;1740;-23,694112;-46,389340;1000
Polygon 419;1740;-23,703121;-46,381538;1000
Polygon 419;1740;-23,712130;-46,389340;1000
Polygon 419;1740;-23,685103;-46,397142;1000
Polygon 419;1740;-23,703121;-46,397142;1000
Polygon 419;1740;-23,712130;-46,404944;1000
Polygon 419;1740;-23,721139;-46,397142;1000
Polygon 419;1740;-23,703121;-46,412746;1000
Polygon 419;1740;-23,712130;-46,420548;1000
Polygon 419;1740;-23,721139;-46,412746;1000
Polygon 330;2168;-22,366703;-48,378026;1000
Polygon 384;1705;-23,111332;-45,700726;1000
Polygon 384;1705;-23,102323;-45,708528;1000
Polygon 384;1705;-23,111332;-45,716330;1000
Polygon 384;1705;-23,120341;-45,708528;1000
Polygon 982;982;-18,965365;-48,330943;1000
Polygon 001;1742;-20,640880;-51,510734;1000
Polygon 378;1699;-23,643290;-47,093235;1000
Polygon 964;964;-16,752046;-49,195035;1000
Polygon 964;964;-16,752046;-49,210639;1000
Polygon 964;964;-16,743037;-49,187233;1000
Polygon 964;964;-16,734028;-49,195035;1000
Polygon 964;964;-16,743037;-49,202837;1000
Polygon 917;917;-17,804337;-48,766175;1000
Polygon 893;893;-18,759061;-50,945082;1000
Polygon 375;1696;-23,529103;-47,436408;1000
Polygon 375;1696;-23,538112;-47,428606;1000
Polygon 375;1696;-23,547121;-47,436408;1000
Polygon 375;1696;-23,538112;-47,444210;1000
Polygon 375;1696;-23,565139;-47,452012;1000
Polygon 375;1696;-23,538112;-47,459814;1000
Polygon 375;1696;-23,556130;-47,459814;1000
Polygon 375;1696;-23,547121;-47,483220;1000
Polygon 330;2168;-22,375712;-48,385828;1000
Polygon 330;2168;-22,384721;-48,378026;1000
Polygon 330;2168;-22,366703;-48,393630;1000
Polygon 330;2168;-22,384721;-48,393630;1000
Polygon 375;1696;-23,538112;-47,491022;1000
Polygon 374;1695;-23,417750;-47,141387;1000
Polygon 022;1763;-20,989792;-51,280987;1000
Polygon 372;1693;-23,552336;-47,085514;1000
Polygon 372;1693;-23,561345;-47,077712;1000
Polygon 372;1693;-23,561345;-47,093316;1000
Polygon 323;2165;-22,438712;-48,168487;1000
Polygon 889;889;-16,966220;-50,416933;1000
Polygon 889;889;-16,957211;-50,440339;1000
Polygon 889;889;-16,948202;-50,448141;1000
Polygon 028;1769;-20,450504;-54,523025;1000
Polygon 028;1769;-20,459513;-54,530827;1000
Polygon 872;872;-14,020036;-49,179628;1000
Polygon 868;868;-16,790619;-49,121680;1000
Polygon 368;1689;-23,285128;-46,875996;1000
Polygon 367;1688;-23,238502;-45,836662;1000
Polygon 366;1687;-23,192332;-45,788097;1000
Polygon 366;1687;-23,201341;-45,780295;1000
Polygon 366;1687;-23,183323;-45,795899;1000
Polygon 852;852;-16,569056;-49,384203;1000
Polygon 852;852;-16,587074;-49,384203;1000
Polygon 852;852;-16,587074;-49,399807;1000
Polygon 319;2163;-21,893175;-49,023693;1000
Polygon 085;1406;-23,304701;-46,180254;1000
Polygon 365;1686;-23,470786;-47,172104;1000
Polygon 243;1245;-22,008718;-51,554102;1000
Polygon 243;1245;-22,017727;-51,546300;1000
Polygon 243;1245;-21,999709;-51,561904;1000
Polygon 040;1781;-20,148521;-51,000496;1000
Polygon 846;846;-16,771763;-49,255307;1000
Polygon 246;1248;-20,254659;-50,232237;1000
Polygon 355;1676;-23,427009;-46,347548;1000
Polygon 045;1786;-20,731200;-51,594866;1000
Polygon 250;1252;-21,256193;-50,319431;1000
Polygon 348;1669;-23,411173;-46,977831;1000
Polygon 050;1791;-21,166788;-51,045521;1000
Polygon 053;1794;-20,414383;-51,334303;1000
Polygon 053;1794;-20,423392;-51,342105;1000
Polygon 053;1794;-20,432401;-51,334303;1000
Polygon 053;1794;-20,432401;-51,349907;1000
Polygon 347;1668;-23,524314;-46,331218;1000
Polygon 347;1668;-23,488278;-46,346822;1000
Polygon 347;1668;-23,497287;-46,339020;1000
Polygon 347;1668;-23,506296;-46,346822;1000
Polygon 347;1668;-23,515305;-46,339020;1000
Polygon 347;1668;-23,524314;-46,346822;1000
Polygon 347;1668;-23,533323;-46,339020;1000
Polygon 844;844;-17,737041;-48,572996;1000
Polygon 844;844;-17,755059;-48,619808;1000
Polygon 844;844;-17,764068;-48,627610;1000
Polygon 844;844;-17,773077;-48,619808;1000
Polygon 844;844;-17,719023;-48,635412;1000
Polygon 844;844;-17,728032;-48,643214;1000
Polygon 844;844;-17,737041;-48,635412;1000
Polygon 055;1796;-21,222101;-50,865468;1000
Polygon 055;1796;-21,231111;-50,857666;1000
Polygon 055;1796;-21,213092;-50,873270;1000
Polygon 055;1796;-21,231111;-50,873270;1000
Polygon 844;844;-17,764068;-48,580798;1000
Polygon 844;844;-17,737041;-48,588600;1000
Polygon 844;844;-17,746050;-48,596402;1000
Polygon 844;844;-17,719023;-48,604204;1000
Polygon 844;844;-17,737041;-48,604204;1000
Polygon 844;844;-17,746050;-48,612006;1000
Polygon 844;844;-17,764068;-48,612006;1000
Polygon 844;844;-17,728032;-48,627610;1000
Polygon 844;844;-17,737041;-48,619808;1000
Polygon 844;844;-17,746050;-48,627610;1000
Polygon 253;1255;-21,246232;-50,318822;1000
Polygon 347;1668;-23,542332;-46,346822;1000
Polygon 056;1797;-20,209065;-50,931351;1000
Polygon 056;1797;-20,218074;-50,923549;1000
Polygon 056;1797;-20,200056;-50,939153;1000
Polygon 844;844;-17,755059;-48,635412;1000
Polygon 844;844;-17,764068;-48,643214;1000
Polygon 844;844;-17,755059;-48,651016;1000
Polygon 057;1798;-20,648197;-51,113559;1000
Polygon 091;1412;-23,751414;-46,439548;1000
Polygon 318;2162;-22,510136;-48,556737;1000
Polygon 318;2162;-22,519145;-48,564539;1000
Polygon 056;1797;-20,200056;-50,907945;1000
Polygon 056;1797;-20,209065;-50,915747;1000
Polygon 056;1797;-20,191047;-50,931351;1000
Polygon 056;1797;-20,200056;-50,923549;1000
Polygon 057;1798;-20,630179;-51,097955;1000
Polygon 057;1798;-20,639188;-51,105757;1000
Polygon 347;1668;-23,479269;-46,354624;1000
Polygon 347;1668;-23,488278;-46,362426;1000
Polygon 347;1668;-23,497287;-46,354624;1000
Polygon 347;1668;-23,506296;-46,362426;1000
Polygon 347;1668;-23,515305;-46,354624;1000
Polygon 347;1668;-23,524314;-46,362426;1000
Polygon 347;1668;-23,533323;-46,354624;1000
Polygon 347;1668;-23,551341;-46,354624;1000
Polygon 347;1668;-23,497287;-46,370228;1000
Polygon 779;779;-16,501117;-49,425612;1000
Polygon 779;779;-16,510126;-49,433414;1000
Polygon 779;779;-16,519135;-49,425612;1000
Polygon 779;779;-16,501117;-49,441216;1000
Polygon 255;1257;-21,756589;-52,132620;1000
Polygon 255;1257;-21,765598;-52,140422;1000
Polygon 344;1665;-23,321013;-46,751039;1000
Polygon 344;1665;-23,348040;-46,743237;1000
Polygon 344;1665;-23,348040;-46,758841;1000
Polygon 058;1799;-20,896536;-51,382294;1000
Polygon 058;1799;-20,905545;-51,390096;1000
Polygon 058;1799;-20,896536;-51,397898;1000
Polygon 768;768;-17,423679;-49,662934;1000
Polygon 058;1799;-20,905545;-51,358888;1000
Polygon 058;1799;-20,887527;-51,374492;1000
Polygon 058;1799;-20,896536;-51,366690;1000
Polygon 058;1799;-20,905545;-51,374492;1000
Polygon 058;1799;-20,887527;-51,390096;1000
Polygon 339;1660;-23,340324;-46,922763;1000
Polygon 338;1659;-23,360989;-47,851665;1000
Polygon 258;1260;-22,362120;-54,501527;1000
Polygon 762;762;-16,376795;-49,486074;1000
Polygon 762;762;-16,385804;-49,478272;1000
Polygon 762;762;-16,340759;-49,501678;1000
Polygon 762;762;-16,358777;-49,501678;1000
Polygon 762;762;-16,367786;-49,493876;1000
Polygon 762;762;-16,385804;-49,493876;1000
Polygon 334;1655;-23,085641;-46,702760;1000
Polygon 334;1655;-23,094650;-46,710562;1000
Polygon 334;1655;-23,103659;-46,702760;1000
Polygon 334;1655;-23,103659;-46,718364;1000
Polygon 334;1655;-23,103659;-46,733968;1000
Polygon 060;1801;-20,865072;-51,485060;1000
Polygon 060;1801;-20,856063;-51,492862;1000
Polygon 060;1801;-20,874081;-51,492862;1000
Polygon 066;1807;-20,448002;-54,632410;1000
Polygon 066;1807;-20,457011;-54,624608;1000
Polygon 066;1807;-20,466020;-54,632410;1000
Polygon 066;1807;-20,475029;-54,624608;1000
Polygon 066;1807;-20,411966;-54,648014;1000
Polygon 066;1807;-20,420975;-54,640212;1000
Polygon 066;1807;-20,429984;-54,648014;1000
Polygon 066;1807;-20,438993;-54,640212;1000
Polygon 066;1807;-20,448002;-54,648014;1000
Polygon 066;1807;-20,457011;-54,640212;1000
Polygon 066;1807;-20,429984;-54,663618;1000
Polygon 066;1807;-20,438993;-54,655816;1000
Polygon 066;1807;-20,438993;-54,671420;1000
Polygon 066;1807;-20,448002;-54,601202;1000
Polygon 066;1807;-20,457011;-54,593400;1000
Polygon 066;1807;-20,466020;-54,601202;1000
Polygon 066;1807;-20,475029;-54,593400;1000
Polygon 066;1807;-20,411966;-54,616806;1000
Polygon 066;1807;-20,420975;-54,609004;1000
